813,Radiologi,XR cruris dua proyeksi kanan,Permintaan & Hasil,37815-8,XR Tibia and Fibula - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Tibia+Fibula,Doc,XR,,http://loinc.org,,,
814,Radiologi,XR cruris dua proyeksi kiri,Permintaan & Hasil,36672-4,XR Tibia and Fibula - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Tibia+Fibula,Doc,XR,,http://loinc.org,,,
815,Radiologi,XR cubiti dua proyeksi bilateral,Permintaan & Hasil,36649-2,XR Elbow - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Elbow,Doc,XR,,http://loinc.org,,,
816,Radiologi,XR cubiti dua proyeksi kanan atau kiri,Permintaan & Hasil,26109-9,XR Elbow - bilateral Views,Views,Find,Pt,Upper extremity.bilateral>Elbow,Doc,XR,,http://loinc.org,,,
817,Radiologi,XR cubiti minimal tiga proyeksi,Permintaan & Hasil,79353-9,XR Elbow GE 3 Views,Views GE 3,Find,Pt,Upper extremity>Elbow,Doc,XR,,http://loinc.org,,,
818,Radiologi,XR dan RF thorax minimal empat proyeksi,Permintaan & Hasil,47367-8,XR and RF Chest GE 4 Views and Views,Views GE 4 && Views,Find,Pt,Chest,Doc,XR && RF,,http://loinc.org,,,
819,Radiologi,XR dan RF thorax proyeksi AP dan lateral,Permintaan & Hasil,39066-6,XR and RF Chest AP and Lateral and Views,Views AP + lateral && Views,Find,Pt,Chest,Doc,XR && RF,,http://loinc.org,,,
820,Radiologi,XR dan RF thorax proyeksi PA dan lateral,Permintaan & Hasil,36751-6,XR and RF Chest PA and Lateral and Views,Views PA + lateral && Views,Find,Pt,Chest,Doc,XR && RF,,http://loinc.org,,,
821,Radiologi,XR dan RF traktus gastrointestinal atas dan BNO dengan kontras PO,Permintaan & Hasil,86423-1,XR Abdomen and RF Gastrointestinal tract upper W contrast PO,View && Views^W contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,XR && RF,,http://loinc.org,,,
822,Radiologi,XR dan RF traktus gastrointestinal atas dan BNO dengan kontras PO dan kontras barium PO,Permintaan & Hasil,86421-5,XR Abdomen and RF Gastrointestinal tract upper W air contrast PO and W barium contrast PO,View && Views^W air contrast PO+W barium contrast PO,Find,Pt,Abdomen>Gastrointestinal tract.upper,Doc,XR && RF,,http://loinc.org,,,
823,Radiologi,XR dental,Permintaan & Hasil,62443-7,Single view Teeth Document XR,View,Find,Pt,Teeth,Doc,XR,,http://loinc.org,,,
824,Radiologi,XR duodenografi,Permintaan & Hasil,98282-7,XR Stomach and Duodenum Views,Views,Find,Pt,Abdomen>Stomach+Duodenum,Doc,XR,,http://loinc.org,,,
825,Radiologi,XR ekstremitas atas minimal dua proyeksi,Permintaan & Hasil,83049-7,XR Upper extremity GE 2 Views,Views GE 2,Find,Pt,Upper extremity,Doc,XR,,http://loinc.org,,,
826,Radiologi,XR ekstremitas bawah minimal dua proyeksi,Permintaan & Hasil,83036-4,XR Lower extremity GE 2 Views,Views GE 2,Find,Pt,Lower extremity,Doc,XR,,http://loinc.org,,,
827,Radiologi,XR elbow AP dan lateral kanan,Permintaan & Hasil,37684-8,XR Elbow - right AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.right>Elbow,Doc,XR,,http://loinc.org,,,
828,Radiologi,XR elbow AP dan lateral kiri,Permintaan & Hasil,36691-4,XR Elbow - left AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.left>Elbow,Doc,XR,,http://loinc.org,,,
829,Radiologi,XR facial bones,Permintaan & Hasil,24695-9,XR Facial bones Views,Views,Find,Pt,Head>Facial bones,Doc,XR,,http://loinc.org,,,
830,Radiologi,"XR facial bones caldwell, towne dan lateral",Permintaan & Hasil,36297-0,XR Facial bones 3 Views,Views 3,Find,Pt,Head>Facial bones,Doc,XR,,http://loinc.org,,,
831,Radiologi,"XR facial bones lateral, caldwell, dan waters",Permintaan & Hasil,37164-1,XR Facial bones Lateral and Caldwell and Waters,Views lateral + Caldwell + Waters,Find,Pt,Head>Facial bones,Doc,XR,,http://loinc.org,,,
832,Radiologi,XR femur AP dan lateral kanan,Permintaan & Hasil,37692-1,XR Femur - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Femur,Doc,XR,,http://loinc.org,,,
833,Radiologi,XR femur AP dan lateral kiri,Permintaan & Hasil,36695-5,XR Femur - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Femur,Doc,XR,,http://loinc.org,,,
834,Radiologi,XR femur dua proyeksi,Permintaan & Hasil,36652-6,XR Femur 2 Views,Views 2,Find,Pt,Lower extremity>Femur,Doc,XR,,http://loinc.org,,,
835,Radiologi,XR femur dua proyeksi bilateral,Permintaan & Hasil,36653-4,XR Femur - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Femur,Doc,XR,,http://loinc.org,,,
836,Radiologi,XR femur dua proyeksi kanan,Permintaan & Hasil,37690-5,XR Femur - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Femur,Doc,XR,,http://loinc.org,,,
837,Radiologi,XR femur dua proyeksi kiri,Permintaan & Hasil,36654-2,XR Femur - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Femur,Doc,XR,,http://loinc.org,,,
838,Radiologi,XR femur kanan,Permintaan & Hasil,26122-2,XR Femur - right Views,Views,Find,Pt,Lower extremity.right>Femur,Doc,XR,,http://loinc.org,,,
839,Radiologi,XR femur kiri,Permintaan & Hasil,26120-6,XR Femur - left Views,Views,Find,Pt,Lower extremity.left>Femur,Doc,XR,,http://loinc.org,,,
840,Radiologi,XR foramen optik,Permintaan & Hasil,24846-8,XR Optic foramen Views,Views,Find,Pt,Head>Optic foramen,Doc,XR,,http://loinc.org,,,
841,Radiologi,XR foramen optik kanan (Rheese),Permintaan & Hasil,26144-6,XR Optic foramen - right Views,Views,Find,Pt,Head>Optic foramen.right,Doc,XR,,http://loinc.org,,,
842,Radiologi,XR foramen optik kiri (Rheese),Permintaan & Hasil,26143-8,XR Optic foramen - left Views,Views,Find,Pt,Head>Optic foramen.left,Doc,XR,,http://loinc.org,,,
843,Radiologi,XR frog position,Permintaan & Hasil,37626-9,XR Pelvis Lateral frog,View lateral frog,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
844,Radiologi,XR full ekstremitas inferior,Permintaan & Hasil,24686-8,XR Lower extremity Views,Views,Find,Pt,Lower extremity,Doc,XR,,http://loinc.org,,,
845,Radiologi,XR genu AP dan lateral,Permintaan & Hasil,36709-4,XR Knee AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
846,Radiologi,XR genu AP dan lateral berdiri kanan,Permintaan & Hasil,26366-5,XR Knee - right AP and Lateral W standing,Views AP + lateral^W standing,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
847,Radiologi,XR genu AP dan lateral berdiri kiri,Permintaan & Hasil,26365-7,XR Knee - left AP and Lateral W standing,Views AP + lateral^W standing,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
848,Radiologi,XR genu AP dan lateral bilateral,Permintaan & Hasil,36590-8,XR Knee - bilateral AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
849,Radiologi,XR genu AP dan lateral kanan,Permintaan & Hasil,37745-7,XR Knee - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
850,Radiologi,XR genu AP dan lateral kiri,Permintaan & Hasil,36710-2,XR Knee - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
851,Radiologi,"XR genu AP, lateral, skyline dan proyeksi tunnel",Permintaan & Hasil,37111-2,XR Knee AP and Lateral and Sunrise and tunnel,Views AP + lateral + Sunrise + tunnel,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
852,Radiologi,"XR genu AP, lateral, skyline dan proyeksi tunnel bilateral",Permintaan & Hasil,37116-1,XR Knee - bilateral AP and Lateral and Sunrise and tunnel,Views AP + lateral + Sunrise + tunnel,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
853,Radiologi,"XR genu bilateral, AP, dan erect",Permintaan & Hasil,26358-2,XR Knee - bilateral AP W standing,View AP^W standing,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
854,Radiologi,XR genu dua proyeksi,Permintaan & Hasil,24806-2,XR Knee 2 Views,Views 2,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
855,Radiologi,XR genu dua proyeksi bilateral,Permintaan & Hasil,26394-7,XR Knee - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
856,Radiologi,XR genu dua proyeksi kanan,Permintaan & Hasil,26396-2,XR Knee - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
857,Radiologi,XR genu dua proyeksi kiri,Permintaan & Hasil,26395-4,XR Knee - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
858,Radiologi,XR genu empat proyeksi atau lebih,Permintaan & Hasil,79364-6,XR Knee GE 4 Views,Views GE 4,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
859,Radiologi,XR genu minimum tiga proyeksi kiri,Permintaan & Hasil,43498-5,XR Knee - left GE 3 Views,Views GE 3,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
860,Radiologi,XR genu proyeksi kiri,Permintaan & Hasil,36636-9,XR Knee - left Views,Views,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
861,Radiologi,XR genu rosenberg kanan,Permintaan & Hasil,37752-3,XR Knee - right Rosenberg W standing,View Rosenberg^W standing,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
862,Radiologi,XR genu rosenberg kiri,Permintaan & Hasil,37019-7,XR Knee - left Rosenberg W standing,View Rosenberg^W standing,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
863,Radiologi,XR genu satu atau dua proyeksi,Permintaan & Hasil,44198-0,XR Knee 1 or 2 Views,Views 1 or 2,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
864,Radiologi,XR genu tiga proyeksi,Permintaan & Hasil,30788-4,XR Knee 3 Views,Views 3,Find,Pt,Lower extremity>Knee,Doc,XR,,http://loinc.org,,,
865,Radiologi,XR genu tiga proyeksi bilateral,Permintaan & Hasil,36310-1,XR Knee - bilateral 3 Views,Views 3,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
866,Radiologi,XR genu tiga proyeksi kanan,Permintaan & Hasil,37742-4,XR Knee - right 3 Views,Views 3,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
867,Radiologi,XR genu tiga proyeksi kiri,Permintaan & Hasil,36311-9,XR Knee - left 3 Views,Views 3,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
868,Radiologi,XR genu valgus stres bilateral,Permintaan & Hasil,98316-3,XR Knee - bilateral Single view W valgus stress,View^W valgus stress,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
869,Radiologi,XR genu valgus stres kanan,Permintaan & Hasil,98302-3,XR Knee - right AP W valgus stress,View AP^W valgus stress,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
870,Radiologi,XR genu valgus stres kiri,Permintaan & Hasil,98309-8,XR Knee - left AP W valgus stress,View AP^W valgus stress,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
871,Radiologi,XR genu varus stres bilateral,Permintaan & Hasil,98317-1,XR Knee - bilateral AP W varus stress,View AP^W varus stress,Find,Pt,Lower extremity.bilateral>Knee,Doc,XR,,http://loinc.org,,,
872,Radiologi,XR genu varus stres kanan,Permintaan & Hasil,98301-5,XR Knee - right AP W varus stress,View AP^W varus stress,Find,Pt,Lower extremity.right>Knee,Doc,XR,,http://loinc.org,,,
873,Radiologi,XR genu varus stres kiri,Permintaan & Hasil,98310-6,XR Knee - left AP W varus stress,View AP^W varus stress,Find,Pt,Lower extremity.left>Knee,Doc,XR,,http://loinc.org,,,
874,Radiologi,XR gigi lengkap seluruh mulut,Permintaan & Hasil,95610-2,XR Teeth Complete Views,Views complete,Find,Pt,Head>Teeth,Doc,XR,,http://loinc.org,,,
875,Radiologi,XR gigi pemeriksaan sebagian,Permintaan & Hasil,62444-5,Views Teeth.partial Document XR,Views,Find,Pt,Teeth.partial,Doc,XR,,http://loinc.org,,,
876,Radiologi,XR gigi satu proyeksi,Permintaan & Hasil,62443-7,Single view Teeth Document XR,View,Find,Pt,Teeth,Doc,XR,,http://loinc.org,,,
877,Radiologi,XR hip joint AP dan lateral kanan,Permintaan & Hasil,37725-9,XR Hip - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,
878,Radiologi,XR hip joint AP dan lateral kiri,Permintaan & Hasil,36704-5,XR Hip - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
879,Radiologi,XR hip joint AP dan oblique kanan,Permintaan & Hasil,37721-8,XR Hip - right 2 Views,Views 2,Find,Pt,Lower extremity.right>Hip,Doc,XR,,http://loinc.org,,,
880,Radiologi,XR hip joint AP dan oblique kiri,Permintaan & Hasil,36664-1,XR Hip - left 2 Views,Views 2,Find,Pt,Lower extremity.left>Hip,Doc,XR,,http://loinc.org,,,
881,Radiologi,XR humerus dua proyeksi kanan atau kiri,Permintaan & Hasil,37062-7,XR Humerus - bilateral Views,Views,Find,Pt,Upper extremity.bilateral>Humerus,Doc,XR,,http://loinc.org,,,
882,Radiologi,XR iga bilateral minimal empat proyeksi termasuk thorax PA,Permintaan & Hasil,39099-7,XR Ribs - bilateral 4 Views and Chest PA,Views 4 && view PA,Find,Pt,Chest>Ribs.bilateral && Chest,Doc,XR,,http://loinc.org,,,
883,Radiologi,XR iga bilateral tiga proyeksi,Permintaan & Hasil,36313-5,XR Ribs - bilateral 3 Views,Views 3,Find,Pt,Chest>Ribs.bilateral,Doc,XR,,http://loinc.org,,,
884,Radiologi,XR iga unilateral dua proyeksi,Permintaan & Hasil,83040-6,XR Ribs - unilateral 2 Views,Views 2,Find,Pt,Chest>Ribs.unilateral,Doc,XR,,http://loinc.org,,,
885,Radiologi,XR iga unilateral minimal tiga proyeksi termasuk thorax PA,Permintaan & Hasil,94685-5,XR Ribs - unilateral GE 3 Views and Chest PA,Views GE 3 && view PA,Find,Pt,Chest>Ribs.unilateral && Chest,Doc,XR,,http://loinc.org,,,
886,Radiologi,XR iliac judet,Permintaan & Hasil,36981-9,XR Hip Judet,View Judet,Find,Pt,Lower extremity>Hip,Doc,XR,,http://loinc.org,,,
887,Radiologi,XR jari kaki dua proyeksi,Permintaan & Hasil,79373-7,XR Toe GE 2 Views,Views GE 2,Find,Pt,Lower extremity>Toe,Doc,XR,,http://loinc.org,,,
888,Radiologi,XR jari tangan minimal dua proyeksi,Permintaan & Hasil,79354-7,XR Finger GE 2 Views,Views GE 2,Find,Pt,Upper extremity>Finger,Doc,XR,,http://loinc.org,,,
889,Radiologi,XR jaringan lunak leher,Permintaan & Hasil,37639-2,XR Neck Views,Views,Find,Pt,Neck,Doc,XR,,http://loinc.org,,,
890,Radiologi,XR kalvaria kurang dari empat proyeksi,Permintaan & Hasil,43470-4,XR Skull LE 3 Views,Views LE 3,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
891,Radiologi,XR kalvaria minimal empat proyeksi,Permintaan & Hasil,48487-3,XR Skull GE 4 Views,Views GE 4,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
892,Radiologi,XR kelenjar liur untuk batu,Permintaan & Hasil,39058-3,XR Salivary gland Views,Views,Find,Pt,Head>Salivary gland,Doc,XR,,http://loinc.org,,,
893,Radiologi,XR kepala,Permintaan & Hasil,28564-3,XR Skull Views,Views,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
894,Radiologi,XR kepala dua proyeksi,Permintaan & Hasil,37867-9,XR Skull 2 Views,Views 2,Find,Pt,Head>Skull,Doc,XR,,http://loinc.org,,,
895,Radiologi,XR knee chest wangensteen,Permintaan & Hasil,36984-3,XR Abdomen Lateral crosstable,View lateral crosstable,Find,Pt,Abdomen,Doc,XR,,http://loinc.org,,,
896,Radiologi,XR kolesistografi dengan kontras PO,Permintaan & Hasil,24712-2,XR Gallbladder Views W contrast PO,Views^W contrast PO,Find,Pt,Abdomen>Gallbladder,Doc,XR,,http://loinc.org,,,
897,Radiologi,XR long leg stitch view,Permintaan & Hasil,36651-8,XR Lower extremity 2 Views,Views 2,Find,Pt,Lower extremity,Doc,XR,,http://loinc.org,,,
898,Radiologi,XR mandibula,Permintaan & Hasil,24829-4,XR Mandible Views,Views,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
899,Radiologi,XR mandibula AP,Permintaan & Hasil,43521-4,XR Mandible 1 or 2 Views,Views 1 or 2,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
900,Radiologi,XR mandibula AP dan lateral,Permintaan & Hasil,36711-0,XR Mandible AP and Lateral,Views AP + lateral,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
901,Radiologi,XR mandibula AP dan lateral,Permintaan & Hasil,36711-0,XR Mandible AP and Lateral,Views AP + lateral,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
902,Radiologi,XR mandibula bilateral,Permintaan & Hasil,24829-4,XR Mandible Views,Views,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,181812008,Entire mandible,http://snomed.info/sct
903,Radiologi,XR mandibula eisler,Permintaan & Hasil,36747-4,XR Mandible Oblique Views,Views oblique,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
904,Radiologi,XR mandibula kurang dari empat proyeksi,Permintaan & Hasil,47380-1,XR Mandible LE 3 Views,Views LE 3,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
905,Radiologi,XR mandibula lateral,Permintaan & Hasil,43521-4,XR Mandible 1 or 2 Views,Views 1 or 2,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
906,Radiologi,XR mandibula minimal empat proyeksi,Permintaan & Hasil,47379-3,XR Mandible GE 4 Views,Views GE 4,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
907,Radiologi,XR mandibula PA dan lateral,Permintaan & Hasil,36754-0,XR Mandible PA and Lateral,Views PA + lateral,Find,Pt,Head>Mandible,Doc,XR,,http://loinc.org,,,
908,Radiologi,XR manus AP dan lateral kanan,Permintaan & Hasil,37710-1,XR Hand - right AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.right>Hand,Doc,XR,,http://loinc.org,,,
909,Radiologi,XR manus AP dan lateral kiri,Permintaan & Hasil,38847-0,XR Hand - left AP and Lateral,Views AP + lateral,Find,Pt,Upper extremity.left>Hand,Doc,XR,,http://loinc.org,,,
910,Radiologi,XR manus bone age AP dan bilateral,Permintaan & Hasil,26352-5,XR Wrist - bilateral and Hand - bilateral Bone age Views,Views bone age,Find,Pt,Upper extremity.bilateral>Wrist+Hand,Doc,XR,,http://loinc.org,,,
911,Radiologi,XR manus dua proyeksi bilateral,Permintaan & Hasil,26388-9,XR Hand - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Hand,Doc,XR,,http://loinc.org,,,
912,Radiologi,XR manus PA dan oblique,Permintaan & Hasil,39079-9,XR Hand PA and Oblique,Views PA + oblique,Find,Pt,Upper extremity>Hand,Doc,XR,,http://loinc.org,,,
913,Radiologi,XR mastoid kurang dari tiga proyeksi,Permintaan & Hasil,47983-2,XR Mastoid - bilateral 1 or 2 Views,Views 1 or 2,Find,Pt,Head>Mastoid.bilateral,Doc,XR,,http://loinc.org,,,
914,Radiologi,XR mastoid minimal tiga proyeksi,Permintaan & Hasil,47381-9,XR Mastoid GE 3 Views,Views GE 3,Find,Pt,Head>Mastoid,Doc,XR,,http://loinc.org,,,
915,Radiologi,XR mastoid schuller bilateral,Permintaan & Hasil,26139-6,XR Mastoid - bilateral Views,Views,Find,Pt,Head>Mastoid.bilateral,Doc,XR,,http://loinc.org,,,
916,Radiologi,XR mastoid schuller kanan,Permintaan & Hasil,26141-2,XR Mastoid - right Views,Views,Find,Pt,Head>Mastoid.right,Doc,XR,,http://loinc.org,,,
917,Radiologi,XR mastoid schuller kiri,Permintaan & Hasil,26140-4,XR Mastoid - left Views,Views,Find,Pt,Head>Mastoid.left,Doc,XR,,http://loinc.org,,,
918,Radiologi,XR mata untuk deteksi benda asing,Permintaan & Hasil,30720-7,XR Orbit - bilateral Views for foreign body,Views for foreign body,Find,Pt,Head>Orbit.bilateral,Doc,XR,,http://loinc.org,,,
919,Radiologi,XR meatus auditorius internus,Permintaan & Hasil,36628-6,XR Internal auditory canal Views,Views,Find,Pt,Head>Internal auditory canal,Doc,XR,,http://loinc.org,,,
920,Radiologi,XR nasal tangensial,Permintaan & Hasil,24834-4,XR Nasal bones Views,Views,Find,Pt,Head>Nasal bones,Doc,XR,,http://loinc.org,,,
921,Radiologi,XR occlusal rahang atas,Permintaan & Hasil,95611-0,XR Teeth Occlusal Views,Views occlusal,Find,Pt,Head>Teeth,Doc,XR,,http://loinc.org,39481002,Upper dental arch structure,http://snomed.info/sct
922,Radiologi,XR occlusal rahang bawah,Permintaan & Hasil,95611-0,XR Teeth Occlusal Views,Views occlusal,Find,Pt,Head>Teeth,Doc,XR,,http://loinc.org,88176008,Lower dental arch structure,http://snomed.info/sct
923,Radiologi,XR OPG (Orthopantomagram),Permintaan & Hasil,95610-2,XR Teeth Complete Views,Views complete,Find,Pt,Head>Teeth,Doc,XR,,http://loinc.org,,,
924,Radiologi,XR orbita bilateral,Permintaan & Hasil,24854-2,XR Orbit - bilateral Views,Views,Find,Pt,Head>Orbit.bilateral,Doc,XR,,http://loinc.org,,,
925,Radiologi,XR orbita minimal empat proyeksi,Permintaan & Hasil,48747-0,XR Orbit - bilateral GE 4 Views,Views GE 4,Find,Pt,Head>Orbit.bilateral,Doc,XR,,http://loinc.org,,,
926,Radiologi,XR os nasal,Permintaan & Hasil,24834-4,XR Nasal bones Views,Views,Find,Pt,Head>Nasal bones,Doc,XR,,http://loinc.org,,,
927,Radiologi,"XR panjang tulang (orthoroentgenogram, scanogram)",Permintaan & Hasil,24579-5,XR Long bones Survey Views,Views survey,Find,Pt,XXX>Bones.long,Doc,XR,,http://loinc.org,,,
928,Radiologi,XR panjang tulang femur dan tibia,Permintaan & Hasil,24700-7,XR Femur and Tibia Views for leg length,Views for leg length,Find,Pt,Lower extremity>Femur+Tibia,Doc,XR,,http://loinc.org,,,
929,Radiologi,XR panoramic gigi,Permintaan & Hasil,24828-6,XR tomography Mandible Panoramic,View panoramic,Find,Pt,Head>Mandible,Doc,XR.tomography,,http://loinc.org,,,
930,Radiologi,"XR patella AP, lateral dan skyline kanan",Permintaan & Hasil,38786-0,XR Patella - right AP and Lateral and Sunrise,Views AP + lateral + Sunrise,Find,Pt,Lower extremity.right>Patella,Doc,XR,,http://loinc.org,,,
931,Radiologi,"XR patella AP, lateral dan skyline kiri",Permintaan & Hasil,37110-4,XR Patella - left AP and Lateral and Sunrise,Views AP + lateral + Sunrise,Find,Pt,Lower extremity.left>Patella,Doc,XR,,http://loinc.org,,,
932,Radiologi,XR pedis AP dan lateral kanan,Permintaan & Hasil,37701-0,XR Foot - right AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.right>Foot,Doc,XR,,http://loinc.org,,,
933,Radiologi,XR pedis AP dan lateral kiri,Permintaan & Hasil,36697-1,XR Foot - left AP and Lateral,Views AP + lateral,Find,Pt,Lower extremity.left>Foot,Doc,XR,,http://loinc.org,,,
934,Radiologi,XR pedis AP dan oblique kanan,Permintaan & Hasil,39076-5,XR Foot AP and Oblique,Views AP + oblique,Find,Pt,Lower extremity>Foot,Doc,XR,,http://loinc.org,7769000,Structure of right foot,http://snomed.info/sct
935,Radiologi,XR pedis AP dan oblique kiri,Permintaan & Hasil,39076-5,XR Foot AP and Oblique,Views AP + oblique,Find,Pt,Lower extremity>Foot,Doc,XR,,http://loinc.org,22335008,Structure of left foot,http://snomed.info/sct
936,Radiologi,XR pedis dua proyeksi,Permintaan & Hasil,30784-3,XR Foot 2 Views,Views 2,Find,Pt,Lower extremity>Foot,Doc,XR,,http://loinc.org,,,
937,Radiologi,XR pedis dua proyeksi bilateral,Permintaan & Hasil,36657-5,XR Foot - bilateral 2 Views,Views 2,Find,Pt,Lower extremity.bilateral>Foot,Doc,XR,,http://loinc.org,,,
938,Radiologi,XR pedis minimal tiga proyeksi,Permintaan & Hasil,44188-1,XR Foot GE 3 Views,Views GE 3,Find,Pt,Lower extremity>Foot,Doc,XR,,http://loinc.org,,,
939,Radiologi,XR pelvimetri,Permintaan & Hasil,24871-6,XR Pelvis Pelvimetry,View pelvimetry,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
940,Radiologi,XR pelvis 1 proyeksi,Permintaan & Hasil,37616-0,XR Pelvis Single view,View,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
941,Radiologi,XR pelvis AP,Permintaan & Hasil,37622-8,XR Pelvis AP,View AP,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
942,Radiologi,"XR pelvis AP, inlet dan outlet",Permintaan & Hasil,37623-6,XR Pelvis AP and Inlet and Outlet,Views AP + inlet + outlet,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
943,Radiologi,XR pelvis dan coxae anak minimal dua proyeksi,Permintaan & Hasil,83034-9,XR Pelvis and Hip - bilateral GE 2 views for pediatrics,Views GE 2 for pediatrics,Find,Pt,Pelvis & Lower extremity.bilateral>Hip,Doc,XR,,http://loinc.org,,,
944,Radiologi,XR pelvis dua proyeksi,Permintaan & Hasil,37617-8,XR Pelvis 2 Views,Views 2,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
945,Radiologi,XR pelvis inlet,Permintaan & Hasil,37628-5,XR Pelvis Inlet,View inlet,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
946,Radiologi,XR pelvis lateral,Permintaan & Hasil,37629-3,XR Pelvis Lateral,View lateral,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
947,Radiologi,XR pelvis minimal tiga proyeksi,Permintaan & Hasil,43543-8,XR Pelvis GE 3 Views,Views GE 3,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
948,Radiologi,XR pelvis oblique,Permintaan & Hasil,37630-1,XR Pelvis Oblique Views,Views oblique,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
949,Radiologi,XR pelvis outlet,Permintaan & Hasil,37631-9,XR Pelvis Outlet,View outlet,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
950,Radiologi,XR pelvis satu atau dua proyeksi,Permintaan & Hasil,43522-2,XR Pelvis 1 or 2 Views,Views 1 or 2,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
951,Radiologi,XR pelvis tiga proyeksi,Permintaan & Hasil,30766-0,XR Pelvis 3 Views,Views 3,Find,Pt,Pelvis,Doc,XR,,http://loinc.org,,,
952,Radiologi,XR pergelangan tangan (wrist joint) dua proyeksi bilateral,Permintaan & Hasil,37482-7,XR Wrist - bilateral 2 Views,Views 2,Find,Pt,Upper extremity.bilateral>Wrist,Doc,XR,,http://loinc.org,,,
